Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,PropertyType,ZipCode
639000.0,3.0,2.5,2169.0,2024.0,Townhouse,84655.0
710900.0,3.0,2.0,1846.0,2024.0,Single Family Residential,84655.0
739000.0,7.0,4.5,4410.0,2021.0,Single Family Residential,84655.0
609400.0,3.0,2.0,3725.0,2024.0,Single Family Residential,84655.0
655000.0,6.0,4.0,3599.0,2024.0,Single Family Residential,84655.0
715000.0,3.0,2.5,4013.0,2015.0,Single Family Residential,84655.0
675000.0,5.0,3.0,3087.0,2006.0,Single Family Residential,84655.0
646900.0,4.0,2.5,2129.0,2024.0,Single Family Residential,84655.0
649900.0,6.0,3.0,3493.0,2024.0,Single Family Residential,84655.0
718900.0,5.0,3.0,4124.0,2024.0,Single Family Residential,84655.0
607900.0,3.0,2.0,3402.0,2024.0,Single Family Residential,84655.0
635000.0,6.0,3.0,4909.0,2018.0,Single Family Residential,84655.0
772000.0,3.0,2.5,2757.0,2024.0,Vacant Land,84655.0
610000.0,4.0,3.5,3416.0,2021.0,Single Family Residential,84655.0
676900.0,4.0,3.0,3404.0,2024.0,Single Family Residential,84655.0
632900.0,3.0,2.0,3746.0,2024.0,Single Family Residential,84655.0
727900.0,4.0,3.0,4011.0,2024.0,Single Family Residential,84655.0
731900.0,5.0,3.0,4124.0,2024.0,Single Family Residential,84655.0
645900.0,3.0,2.0,3746.0,2024.0,Single Family Residential,84655.0
655900.0,6.0,3.5,3517.0,2024.0,Single Family Residential,84655.0
728900.0,5.0,3.0,4124.0,2024.0,Single Family Residential,84655.0
626900.0,3.0,2.0,3746.0,2024.0,Single Family Residential,84655.0
601900.0,3.0,2.0,3402.0,2024.0,Single Family Residential,84655.0
724990.0,4.0,2.5,4497.0,2024.0,Single Family Residential,84655.0
749990.0,4.0,2.5,4497.0,2024.0,Single Family Residential,84655.0
676900.0,4.0,3.0,2757.0,2024.0,Single Family Residential,84655.0
696900.0,5.0,3.0,2960.0,2024.0,Single Family Residential,84655.0
605900.0,3.0,2.0,1846.0,2024.0,Single Family Residential,84655.0
646900.0,4.0,2.5,2129.0,2024.0,Single Family Residential,84655.0
1275000.0,3.0,2.5,2757.0,2024.0,Vacant Land,84655.0
1195000.0,5.0,3.5,4005.0,2022.0,Single Family Residential,84655.0
1304400.0,3.0,2.5,2757.0,2024.0,Vacant Land,84655.0
3500000.0,3.0,2.5,2757.0,2024.0,Vacant Land,84655.0
3107135.0,3.0,2.5,2757.0,2024.0,Vacant Land,84655.0
4250000.0,8.0,4.0,7499.0,2012.0,Single Family Residential,84655.0
4999999.0,3.0,2.5,2757.0,2024.0,Vacant Land,84655.0
3062400.0,3.0,2.5,2757.0,2024.0,Vacant Land,84655.0
275000.0,3.0,2.0,1997.0,1956.0,Single Family Residential,71075.0
145000.0,4.0,2.0,1568.0,2021.0,Single Family Residential,71071.0
174900.0,3.0,2.0,1700.0,1975.0,Single Family Residential,71071.0
95000.0,4.0,2.0,2418.0,1955.0,Single Family Residential,71071.0
130000.0,2.0,1.0,942.0,1982.0,Single Family Residential,71071.0
120000.0,4.0,2.0,1920.0,2011.0,Mobile/Manufactured Home,71071.0
40000.0,3.0,2.5,2757.0,2024.0,Vacant Land,71021.0
25000.0,3.0,2.5,2757.0,2024.0,Vacant Land,71071.0
320000.0,3.0,2.5,2757.0,2024.0,Vacant Land,71071.0
10000.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
25000.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
75000.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
295000.0,3.0,2.0,1776.0,2003.0,Single Family Residential,47579.0
5500.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
6500.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
199000.0,2.0,1.5,1152.0,1996.0,Single Family Residential,47579.0
15000.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
299900.0,3.0,2.5,2342.0,2002.0,Single Family Residential,47579.0
70000.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
10900.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
5000.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
11900.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
5000.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
10500.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
14500.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
6000.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
395000.0,4.0,4.0,2521.0,1990.0,Single Family Residential,47579.0
310000.0,3.0,3.0,2900.0,1977.0,Single Family Residential,47579.0
389900.0,2.0,2.0,3120.0,2014.0,Single Family Residential,47579.0
324500.0,3.0,2.5,2186.0,1979.0,Single Family Residential,47579.0
409000.0,4.0,2.5,2598.0,1969.0,Single Family Residential,47579.0
700000.0,3.0,2.5,2757.0,2024.0,Vacant Land,47579.0
114500.0,3.0,2.5,2757.0,2024.0,Vacant Land,77476.0
165000.0,3.0,2.5,2757.0,2024.0,Vacant Land,77485.0
120000.0,3.0,2.5,2757.0,2024.0,Vacant Land,77485.0
75000.0,3.0,2.5,2757.0,2024.0,Vacant Land,77485.0
85000.0,3.0,2.5,2757.0,2024.0,Vacant Land,77485.0
99000.0,3.0,2.5,2757.0,2024.0,Vacant Land,77476.0
175000.0,3.0,2.5,2757.0,2024.0,Vacant Land,77485.0
125000.0,3.0,2.5,2757.0,2024.0,Vacant Land,77485.0
475000.0,4.0,2.5,2481.0,1998.0,Single Family Residential,77485.0
479999.0,4.0,3.0,3824.0,1982.0,Single Family Residential,77485.0
480000.0,4.0,3.0,2200.0,1972.0,Single Family Residential,77485.0
753999.0,4.0,3.0,4055.0,2002.0,Single Family Residential,77476.0
632000.0,4.0,3.5,3565.0,2017.0,Single Family Residential,77476.0
1300000.0,4.0,2.5,1566.0,1950.0,Single Family Residential,77476.0
1300000.0,3.0,2.5,2757.0,2024.0,Vacant Land,77476.0
